disengaged,diffs,binMeans,err,eventpos
0,-0.149806959136611,-0.131216410137731,0.0171693126942453,5
0,0.196497778585493,0.284735535267327,0.0123097611427139,6
0,-0.107679785216407,-0.0956141965288251,0.0207564439132333,7
0,-0.0966906862159994,-0.0956141965288251,0.0207564439132333,8
0,-0.0630361650955965,-0.063829189555462,0.0193251968576905,9
0,0.138202244007041,0.122583079955151,0.0193486544762497,10
0,-0.0737659899629971,-0.063829189555462,0.0193251968576905,11
0,0.0636605458151469,0.122583079955151,0.0193486544762497,12
0,-0.00325334401359367,0.00174601312047759,0.0181574754819774,13
0,-0.0569576534502718,-0.063829189555462,0.0193251968576905,14
0,0.0884743223195891,0.122583079955151,0.0193486544762497,15
0,-0.0416326596923305,0.00174601312047759,0.0181574754819774,16
0,0.0490052750230695,0.122583079955151,0.0193486544762497,17
0,0.0268618188061687,0.00174601312047759,0.0181574754819774,18
0,-0.0179149416643417,0.00174601312047759,0.0181574754819774,19
0,-0.0216003520758488,0.00174601312047759,0.0181574754819774,20
0,-0.0362257926899998,0.00174601312047759,0.0181574754819774,21
0,0.0652402362441651,0.122583079955151,0.0193486544762497,22
1,-0.000786805380221023,0.00174601312047759,0.0181574754819774,23
0,-0.153686451244882,-0.131216410137731,0.0171693126942453,1
0,-0.377617725271678,-0.335515442673583,0.015506270471189,2
0,0.309436185262736,0.284735535267327,0.0123097611427139,3
0,-0.0702101324983309,-0.063829189555462,0.0193251968576905,4
0,-0.0875334474308969,-0.0956141965288251,0.0207564439132333,5
0,-0.045499934846061,-0.063829189555462,0.0193251968576905,6
0,-0.118576931664598,-0.131216410137731,0.0171693126942453,7
0,-0.108746369030579,-0.0956141965288251,0.0207564439132333,8
0,0.149179981824579,0.122583079955151,0.0193486544762497,9
0,-0.0845105859576605,-0.0956141965288251,0.0207564439132333,10
0,-0.0809966231969781,-0.063829189555462,0.0193251968576905,11
0,-0.0558696552266636,-0.063829189555462,0.0193251968576905,12
0,-0.0501308334684404,-0.063829189555462,0.0193251968576905,13
0,0.098651769842273,0.122583079955151,0.0193486544762497,14
